krb5 1.17-2
kservice 5.65.0-2
ktextwidgets 5.65.0-2
kwallet 5.65.0-2
kwidgetsaddons 5.65.0-2
kwindowsystem 5.65.0-2
kxmlgui 5.65.0-2
l-smash 2.14.5-1
lame 3.100-2
lcms2 2.9-2
ldns 1.7.1-2
leiningen 2.9.1-1
less 551-3
lib32-alsa-lib 1.2.1.2-1
lib32-attr 2.4.48-1
lib32-dbus 1.12.16-1
lib32-fakeroot 1.24-1
lib32-flac 1.3.3-1
lib32-gcc-libs 9.2.0-4
lib32-glibc 2.30-3
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcap 2.27-1
lib32-libgcrypt 1.8.5-1
lib32-libgpg-error 1.36-1
lib32-libice 1.0.10-1
lib32-libltdl 2.4.6+42+gb88cebd5-1
lib32-libogg 1.3.4-1
lib32-libpulse 13.0-1
lib32-libsm 1.2.3-1
lib32-libsndfile 1.0.28-2
lib32-libvorbis 1.3.6-1.1
lib32-libx11 1.6.9-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.13.1-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 5.0.3-2
lib32-libxi 1.7.10-2
lib32-libxtst 1.2.3-2
lib32-systemd 244.1-1
lib32-util-linux 2.34-1
lib32-xz 5.2.4-1
libaio 0.3.112-2
libappindicator-gtk2 12.10.0-13
libappindicator-gtk3 12.10.0-13
libarchive 3.4.0-3
libass 0.14.0-1
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libavc1394 0.5.4-3
libblockdev 2.23-3
libbluray 1.1.2-1
libbytesize 2.1-3
libcanberra 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libcap 2.28-1
libcap-ng 0.7.10-1
libcdr 0.1.5-3
libconfig 1.7.2-2
libcroco 0.6.13-1
libcups 2.3.1-1
libcurl3-gnutls 7.65.0-2
libdaemon 0.14-4
libdatrie 0.2.12-1
libdbusmenu-glib 16.04.0-3
libdbusmenu-gtk2 16.04.0-3
libdbusmenu-gtk3 16.04.0-3
libdbusmenu-qt5 0.9.3+16.04.20160218-4
libdca 0.0.6-1
libdrm 2.4.100-1
libdvbpsi 1:1.3.3-1
libebml 1.3.10-1
libedit 20191211_3.1-1
libelf 0.177-2
libepoxy 1.5.4-1
libev 4.31-1
libevdev 1.8.0-2
libevent 2.1.11-3
libexif 0.6.21-3
libffi 3.2.1-4
libfontenc 1.1.4-1
libgcrypt 1.8.5-2
libgee 0.20.2-1
libglade 2.6.4-6
libglvnd 1.3.0-1
libgnomekbd 3.26.1+2+g8d02ebd-1
libgpg-error 1.36-3
libgudev 233-1
libgusb 0.3.1-1
libibus 1.5.21-3
libice 1.0.10-2
libid3tag 0.15.1b-9
libidn 1.35-2
libidn2 2.3.0-1
libiec61883 1.2.0-5
libimobiledevice 1.2.0+87+g92c5462-6
libindicator-gtk2 12.10.1-8
libindicator-gtk3 12.10.1-8
libinput 1.14.3-1
libjpeg-turbo 2.0.3-1
libksba 1.3.5-2
libldap 2.4.48-2
liblqr 0.4.2-2
libmad 0.15.1b-8
libmagick6 6.9.10.80-1
libmatroska 1.5.2-1
libmediainfo 19.09-1
libmm-glib 1.12.2-1
libmms 0.6.4-2
libmnl 1.0.4-3
libmodplug 0.8.9.0-2
libmpc 1.1.0-2
libmpcdec 1:0.1+r475-2
libmpdclient 2.17-1
libmpeg2 0.5.1-6
libmtp 1.1.16-1
libndp 1.7-1
libnet 1.1.6-3
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.21-3
libnfnetlink 1.0.1-3
libnftnl 1.1.5-1
libnghttp2 1.39.2-2
libnl 3.5.0-2
libnm 1.22.2-1
libnotify 0.7.8-1
libnsl 1.2.0-2
libogg 1.3.4-1
libomxil-bellagio 0.9.3-2
libotf 0.9.16-1
libpaper 1.1.24-11
libpcap 1.9.1-2
libpciaccess 0.16-1
libpgm 5.2.122-4
libpipeline 1.5.1-2
libplist 2.1.0-2
libpng 1.6.37-1
libpng12 1.2.59-1
libproxy 0.4.15-13
libpsl 0.21.0-2
libpulse 13.0-2
libraqm 0.7.0-1
libraw1394 2.1.2-2
librevenge 0.0.4-2
librsvg 2:2.46.4-1
libsamplerate 0.1.9-2
libsasl 2.1.27-2
libseccomp 2.4.1-3
libsecret 0.19.1-3
libsigc++ 2.10.2-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.18-1
libsoup 2.68.3-1
libsoxr 0.1.3-1
libssh 0.9.3-1
libssh2 1.9.0-2
libtar 1.2.20-4
libtasn1 4.15.0-1
libteam 1.29-4
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.1.0-1
libtirpc 1.1.4-2
libtool 2.4.6+42+gb88cebd5-8
libudev0-shim 1-3
libunistring 0.9.10-2
libunwind 1.3.1-1
libupnp 1.6.25-1
libusb 1.0.23-2
libusbmuxd 2.0.0-2
libutempter 1.1.6-3
libutil-linux 2.34-8
libuv 1.34.0-1
libva 2.5.0-1
libvdpau 1.3-1
libvisual 0.4.0-7
libvoikko 4.3-1
libvorbis 1.3.6-1
libvpx 1.8.2-1
libwacom 1.2-1
libwebp 1.0.3-1
libwnck3 3.32.0-2
libwpd 0.10.3-1
libx11 1.6.9-6
libxau 1.0.9-2
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-2
libxcursor 1.2.0-1
libxdamage 1.1.5-2
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-2
libxext 1.3.4-2
libxfixes 5.0.3-3
libxfont2 2.0.4-2
libxft 2.3.3-1
libxi 1.7.10-2
libxinerama 1.1.4-2
libxkbcommon 0.9.1-1
libxkbcommon-x11 0.9.1-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.10-1
libxmu 1.1.3-1
libxnvctrl 440.44-1
libxpm 3.5.13-1
libxrandr 1.5.2-2
libxrender 0.9.10-3
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.34-2
libxss 1.2.3-2
libxt 1.2.0-1
libxtst 1.2.3-3
libxv 1.0.11-3
libxvmc 1.0.12-2
libxxf86vm 1.1.4-3
libyaml 0.2.2-1
libzen 0.4.37-2
libzip 1.5.2-2
licenses 20191011-2
linux 5.4.6.arch1-1
linux-api-headers 5.3.1-2
linux-firmware 20191215.eefb5f7-1
llvm-libs 9.0.0-4
lm_sensors 3.6.0-1
lolcat 100.0.0-1
lsof 4.93.2-1
lua 5.3.5-2
lua51 5.1.5-8
lvm2 2.02.186-4
lz4 1:1.9.2-2
lzo 2.10-3
m17n-db 1.8.0-2
m17n-lib 1.8.0-6
m4 1.4.18-3
mailcap 2.1.48+14+g5811758-1
make 4.2.1-4
man-db 2.9.0-1
md4c 0.4.2-1
mdadm 4.1-2
media-player-info 24-1
mediainfo 19.09-1
mesa 19.3.1-1
minizip 1:1.2.11-4
mkinitcpio 27-2
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-1
mozilla-common 1.4-5
mpfr 4.0.2-2
mtdev 1.1.5-2
mupdf 1.16.1-2
ncurses 6.1-7
ndctl 67-1
neofetch 6.1.0-1
neon 0.30.2-3
netpbm 10.73.28-1
nettle 3.5.1-2
networkmanager 1.22.2-1
nextcloud 17.0.1-1
nextcloud-client 2.6.1-3
nodejs 13.5.0-1
notify-osd 0.9.35+16.04.20160415-2
noto-fonts 20190926-3
npth 1.6-2
nspr 4.24-1
nss 3.48-1
ntfs-3g 2017.3.23-3
ocaml 4.09.0-2
ocaml-base 0.13.0-1
ocaml-biniou 1.2.1-2
ocaml-compiler-libs 4.09.0-2
ocaml-cryptokit 1.13-2
ocaml-curl 0.8.2-1
ocaml-easy-format 1.3.1-5
ocaml-extlib 1.7.6-1
ocaml-findlib 1.8.1-4
ocaml-ounit 2.0.6-1
ocaml-pcre 7.4.1-1
ocaml-result 1.4-2
ocaml-sexplib0 0.13.0-1
ocaml-sqlite3 4.4.1-1
ocaml-stdio 0.12.0-1
ocaml-topkg 1.0.1-2
ocaml-xmlm 1.3.0-1
ocaml-yojson 1.4.1-7
ocaml-zarith 1.8-2
ocamlbuild 0.14.0-5
ocamlfuse 2.7.1-8
ocamlnet 4.1.6-1
oniguruma 6.9.4-1
opam 2.0.5-5
openal 1.20.0-1
opencore-amr 0.1.5-3
openjpeg2 2.3.1-1
openssh 8.1p1-2
openssl 1.1.1.d-2
opus 1.3.1-1
orc 0.4.31-1
os-prober 1.77-1
otf-fira-code 2-1
p11-kit 0.23.18.1-2
packer 20160325-1
pacman 5.2.1-1
pacman-mirrorlist 20191001-2
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7-1
pangomm 2.42.0-1
parted 3.3-1
patch 2.7.6-8
patchelf 0.9-2
pavucontrol 1:4.0-1
pciutils 3.6.2-2
pcre 8.43-2
pcre2 10.34-3
perl 5.30.1-1
perl-anyevent 4:7.17-1
perl-anyevent-i3 0.17-5
perl-common-sense 3.74-5
perl-error 0.17028-1
perl-file-basedir 0.08-3
perl-file-desktopentry 0.22-5
perl-file-mimeinfo 0.29-2
perl-ipc-system-simple 1.25-5
perl-json-xs 4.0-3
perl-mailtools 2.21-2
perl-timedate 2.30-6
perl-types-serialiser 1.0-5
perl-uri 1.76-2
perl-xml-parser 2.44-9
phonon-qt5 4.11.1-1
phonon-qt5-vlc 0.11.1-1
php 7.4.1-1
php-gd 7.4.1-1
picom 7.5-2
pinentry 1.1.0-5
pixman 0.38.4-1
